Company_Name,Category,M_Name,URL
adconcapitalservices,financeinvestments,Adcon Capital S,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/adconcapitalservices/ACS03
addlifepharma,pharmaceuticals,Add-Life Pharma,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/addlifepharma/ALP
addshoppromotions,personalcare,Add-Shop Promot,http://www.moneycontrol.com/india/stockpricequote/personalcare/addshoppromotions/AP12
addiindustries,textileshosieryknitwear,Addi Industries,http://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/addiindustries/AI05
adelvisi,miscellaneous,Adel Visi,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/adelvisi/AV01
adffoodsindustries,foodprocessing,ADF Foods,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/adffoodsindustries/AF30
adharshilacapitalservices,banksprivatesector,Adharshila Cap,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/adharshilacapitalservices/ACS05
adhbhutinfrastructure,infrastructuregeneral,Adhbhut Infra,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adhbhutinfrastructure/AI71
adhunikindustries,steelmediumsmall,Adhunik Ind,http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/adhunikindustries/AI67
adhunikmetaliks,steelspongeiron,Adhunik Metalik,http://www.moneycontrol.com/india/stockpricequote/steelspongeiron/adhunikmetaliks/AM9
adhuniksynthetics,textilesweaving,Adhunik Synth,http://www.moneycontrol.com/india/stockpricequote/textilesweaving/adhuniksynthetics/AS
adhunikyarns,textilesprocessing,Adhunik Yarns,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/adhunikyarns/AY
adinathbiolabs,pharmaceuticals,Adinath Bio-Lab,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/adinathbiolabs/ABL02
adinatheximresources,financeinvestments,Adinath Exim,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/adinatheximresources/AER
adinathtextiles,textilesspinningsyntheticblended,ADINATH TEXTILE,http://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/adinathtextiles/AT02
adithyaalkaloids,pharmaceuticals,Adithya Alkaloi,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/adithyaalkaloids/AAL
adithyaaquaculture,aquaculture,Adithya Aqua,http://www.moneycontrol.com/india/stockpricequote/aquaculture/adithyaaquaculture/AAC03
aditriindustries,textilesreadymadeapparels,Aditri Industri,http://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/aditriindustries/AC02
adityabirlachemicals,chemicals,Aditya Birla Ch,http://www.moneycontrol.com/india/stockpricequote/chemicals/adityabirlachemicals/ABC08
adityabirlafashionretail,retail,Aditya Birla F,http://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR
adityaconsumermarketing,retail,Aditya Consumer,http://www.moneycontrol.com/india/stockpricequote/retail/adityaconsumermarketing/ACM01
adityaelectrocommunications,electricals,Aditya Electro,http://www.moneycontrol.com/india/stockpricequote/electricals/adityaelectrocommunications/AEC02
adityaexports,miscellaneous,Aditya Exports ,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/adityaexports/AEL01
adityaforge,castingsforgings,Aditya Forge,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/adityaforge/AF
adityainternational,trading,Aditya Int,http://www.moneycontrol.com/india/stockpricequote/trading/adityainternational/AI37
adityaispat,steelmediumsmall,Aditya Ispat,http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/adityaispat/AI06
adityalimeindustries,chemicals,Aditya Lime,http://www.moneycontrol.com/india/stockpricequote/chemicals/adityalimeindustries/ALI01
adityamills,diversified,Aditya Mills,http://www.moneycontrol.com/india/stockpricequote/diversified/adityamills/AML01
adityapolymers,packaging,Aditya Polymers,http://www.moneycontrol.com/india/stockpricequote/packaging/adityapolymers/APL02
adityaspinners,textilesspinningsyntheticblended,Aditya Spinners,http://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/adityaspinners/AS01
adityavision,miscellaneous,Aditya Vision,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/adityavision/AV
adorfontech,electrodesgraphite,Ador Fontech,http://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorfontech/AF22
adormultiproducts,personalcare,Ador Multi,http://www.moneycontrol.com/india/stockpricequote/personalcare/adormultiproducts/AM01
adorpowertron,miscellaneous,Ador Powertron,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/adorpowertron/AP25
adortechnopak,packaging,Ador Technopak,http://www.moneycontrol.com/india/stockpricequote/packaging/adortechnopak/AT11
adorwelding,electrodesgraphite,Ador Welding,http://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorwelding/AW01
adsdiagnostic,hospitalsmedicalservices,ADS Diagnostic ,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/adsdiagnostic/ADS
advancebiocoalindia,miscellaneous,Advance Bio-Coa,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/advancebiocoalindia/ABC04
advancelifestyles,textilesspinningcottonblended,Advance Life,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/advancelifestyles/AAM
advancemeteringtechnology,powergenerationdistribution,Advance Meter,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/advancemeteringtechnology/AMT
advancemultitech,rubber,Advance Multi,http://www.moneycontrol.com/india/stockpricequote/rubber/advancemultitech/AM02
advancepetrochemicals,detergents,Advance Petro,http://www.moneycontrol.com/india/stockpricequote/detergents/advancepetrochemicals/AP02
advancepowerinfratech,financeinvestments,Advance Power,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/advancepowerinfratech/MF05
advancesyntex,miscellaneous,Advance Syntex ,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/advancesyntex/AS08
advancedenzymetechnologies,pharmaceuticals,Advanced Enzyme,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET
advancedmicronicdevices,hospitalsmedicalservices,Advanced Micron,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/advancedmicronicdevices/AMD
advanihotelsresortsindia,hotels,Advani Hotels,http://www.moneycontrol.com/india/stockpricequote/hotels/advanihotelsresortsindia/AHR
advanta,miscellaneous,Advanta,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/advanta/AI39
adventcomputerservices,computerssoftwaremediumsmall,Advent Computer,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/adventcomputerservices/ACS01
advikcapital,financeinvestments,Advik Capital ,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/advikcapital/AIL04
adviklaboratories,pharmaceuticals,Advik Labors,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/adviklaboratories/AL07
advitiyatradeindialtd,diversified,Advitiya Trade ,http://www.moneycontrol.com/india/stockpricequote/diversified/advitiyatradeindialtd/ATI
aecenterprises,miscellaneous,AEC Enterprises,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/aecenterprises/AEC
aecindia,constructioncontractingcivil,AEC India,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/aecindia/AEC01
aegislogistics,transportlogistics,Aegis Logistics,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9
